                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                0.70643,                0.46958,                0.89633,                0.94673,                0.92176,                0.96087,                0.83856,                0.66961,                0.57045,                0.87186,               0.003664,               0.003664,               0.003664
                     66,                 0.7023,                0.46671,                0.89424,                0.94975,                0.92383,                0.96236,                0.84248,                0.65716,                 0.5581,                0.86773,               0.003565,               0.003565,               0.003565
                     67,                0.69852,                0.46443,                0.89328,                0.94959,                0.92198,                0.96179,                0.84186,                0.65983,                0.55805,                0.86747,               0.003466,               0.003466,               0.003466
                     68,                0.69182,                0.46048,                0.89113,                0.94653,                0.92844,                0.96145,                0.84426,                0.64765,                0.54142,                 0.8641,               0.003367,               0.003367,               0.003367
                     69,                0.69076,                0.45947,                 0.8909,                0.94705,                0.92856,                0.96396,                0.84689,                0.64072,                0.54098,                0.86282,               0.003268,               0.003268,               0.003268
                     70,                0.69019,                0.45778,                0.89079,                0.94767,                0.92623,                0.96323,                0.84451,                0.65705,                0.55119,                 0.8658,               0.003169,               0.003169,               0.003169
                     71,                0.68736,                0.45675,                 0.8898,                0.95157,                0.92807,                 0.9646,                 0.8482,                0.64704,                  0.535,                0.86367,                0.00307,                0.00307,                0.00307
                     72,                 0.6861,                0.45523,                0.88957,                 0.9494,                0.92742,                0.96437,                0.84891,                0.64174,                 0.5291,                0.86171,               0.002971,               0.002971,               0.002971
                     73,                0.67778,                 0.4508,                0.88532,                0.94849,                 0.9245,                0.96349,                 0.8497,                0.63993,                0.54942,                0.86122,               0.002872,               0.002872,               0.002872
                     74,                0.67865,                 0.4487,                0.88653,                0.94803,                0.92394,                0.96352,                0.84905,                0.64271,                0.55794,                0.86139,               0.002773,               0.002773,               0.002773
                     75,                0.67848,                0.44813,                0.88682,                0.94886,                0.92843,                0.96465,                0.85068,                0.63484,                0.54398,                 0.8597,               0.002674,               0.002674,               0.002674
                     76,                0.67012,                 0.4428,                0.88341,                0.94896,                0.92748,                0.96479,                0.84992,                0.63611,                0.55087,                0.85972,               0.002575,               0.002575,               0.002575
                     77,                0.67372,                0.44579,                0.88528,                 0.9484,                0.92707,                0.96456,                0.85118,                0.63742,                  0.548,                0.86016,               0.002476,               0.002476,               0.002476
